city,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Anaheim, CA",2012-01-01,390000.0,0.013000000000000001,-0.049,"1,805",-0.221,-0.025,"3,055",0.644,-0.127,"8,766",-0.03,-0.231,68.0,-1.0,-2.0,0.97,0.0,-0.004
"Anaheim, CA",2012-02-01,380000.0,-0.026000000000000002,-0.062,"2,030",0.125,0.146,"3,079",0.008,-0.113,"8,256",-0.057999999999999996,-0.3,73.0,5.0,-6.0,0.97,0.0,-0.005
"Anaheim, CA",2012-03-01,395000.0,0.038,-0.078,"2,671",0.316,0.11,"3,401",0.105,-0.132,"7,636",-0.075,-0.361,62.0,-11.0,-6.0,0.9740000000000001,0.004,0.0
"Anaheim, CA",2012-04-01,405000.0,0.027000000000000003,-0.036000000000000004,"2,837",0.062,0.212,"3,136",-0.078,-0.124,"7,167",-0.061,-0.41100000000000003,48.0,-14.0,-7.0,0.9790000000000001,0.005,0.006
"Anaheim, CA",2012-05-01,428000.0,0.057,0.019,"3,018",0.064,0.23399999999999999,"3,257",0.039,-0.10099999999999999,"6,783",-0.054000000000000006,-0.45,43.0,-5.0,-13.0,0.98,0.001,0.006999999999999999
"Anaheim, CA",2012-06-01,435000.0,0.016,0.023,"3,082",0.021,0.172,"3,207",-0.015,-0.10099999999999999,"6,527",-0.038,-0.47200000000000003,35.0,-8.0,-23.0,0.981,0.001,0.009000000000000001
"Anaheim, CA",2012-07-01,439000.0,0.009000000000000001,0.027999999999999997,"2,931",-0.049,0.258,"3,057",-0.047,-0.078,"6,113",-0.063,-0.501,31.0,-4.0,-26.0,0.983,0.001,0.01
"Anaheim, CA",2012-08-01,440000.0,0.002,0.073,"3,145",0.073,0.22399999999999998,"2,864",-0.063,-0.10400000000000001,"5,515",-0.098,-0.531,33.0,2.0,-30.0,0.985,0.003,0.013000000000000001
"Anaheim, CA",2012-09-01,435000.0,-0.011000000000000001,0.061,"2,627",-0.165,0.11199999999999999,"2,445",-0.146,-0.154,"4,782",-0.133,-0.574,34.0,1.0,-28.0,0.982,-0.003,0.012
"Anaheim, CA",2012-10-01,442000.0,0.016,0.127,"2,979",0.134,0.373,"2,558",0.046,-0.095,"4,169",-0.128,-0.609,30.0,-4.0,-35.0,0.986,0.004,0.016
