RegionName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31
"New York, NY",2309.053852567885,2323.945634130709,2342.172814838276,2362.8668653710515,2378.7084866833025,2395.172641966325,2405.6303586489585,2415.5367562559127,2419.478481197377,2417.8115977276398,2408.8790898066645,2399.812737345868,2396.162780068768,2400.3049891718347,2408.2220869161133,2420.954711382591,2435.387782034494,2450.463621658434,2463.4608134241885,2467.621637541572,2468.4009746973943,2460.790256670678,2455.7182261392736,2443.7396554096545,2440.303082061855,2441.074336638012,2453.091606200828,2467.5934551066352,2485.8574309989417,2500.9377541763483,2511.7548132269417,2514.249058408003,2512.035248659378,2498.392916399936,2482.573646291811,2469.185090628686,2467.391235852071,2474.5619556281176,2487.378906462992,2507.3156816960263,2525.795225286159,2543.7575970592675,2556.1506293377447,2565.605906490974,2566.1512091715185,2556.486462827749,2545.5094481967403,2534.85824591143,2535.061878564357,2543.5731507347405,2559.529073720882,2577.0728144147333,2597.940630158983,2619.82449476438,2635.7203511061093,2642.9013462451358,2641.0749302407226,2635.9827427531504,2623.9447010279496,2616.2570776705343,2615.4959785753367,2628.538216510654,2637.9601193292024,2631.903713147758,2614.965672418208,2591.703328902462,2566.3900520847355,,,2422.0183814658494,2389.6693309213483,2377.031197942404,2375.1728835874947,2389.027468317396,2410.7342040687654,2439.5623173474114,2484.9231040356435,2540.695945112753,2604.012674031352,2664.760212378597,2713.472050505132,2747.226357624965,2768.733277671972,2789.292698832264,2812.96983687281,2846.4099262530444,2885.5385223923618,2928.1433917132526,2980.905199206914,3036.085392933353,3086.7026715720544,3114.6336973651896,3118.1075019912105,3101.0771802856,3074.3639390833664,3053.176248935646,3049.553871834557,3062.038645440964,3089.5057043428824,3123.978949610936,3160.8679927858448,3193.1662942951043,3215.8674713386044,3226.019963773203,3225.1143502564705,3209.8708838990533,3187.0486395000685,3170.443096271476,3174.6575470560715,3193.1919631109567,3224.492468330927,3253.4407836019404,3287.035669660198,3315.4857333372083,3333.168447716677,3338.4251921955606,3327.404340107193,3312.6546811902413
"Los Angeles, CA",1824.56415816124,1837.131789349114,1852.9959578079247,1866.5443850923823,1880.9659347293957,1892.6771382533009,1906.6981475539983,1917.1206593731763,1927.1437027384832,1932.4798721875045,1937.0059170222764,1942.8851155861817,1952.4100857541875,1964.6525431915904,1977.2150319606667,1986.901101923259,2000.7912175106424,2013.2253060872404,2026.6134768561656,2032.3772226964504,2037.6684937109428,2038.8643528924204,2041.6792572170853,2044.449650534532,2058.786932886791,2075.054362065758,2096.7454269413333,2110.4685672345,2124.0383091447475,2133.1290712897294,2142.956650772006,2148.180120162846,2153.5069942244554,2155.1566972064284,2160.430040164308,2164.3842775427697,2175.573789150217,2187.2759965277783,2199.21202983171,2208.343838051269,2216.1273425644367,2227.7909742276074,2238.0319471347334,2247.447665724108,2251.487952763305,2255.637591430503,2261.1917080230264,2266.861307447958,2272.57652617782,2277.145219636754,2288.93726276707,2299.10110492434,2311.165670594498,2320.1231374838007,2328.7995439541214,2335.334882639739,2338.9788939017126,2341.4478899690093,2344.441999027703,2348.278221221853,2355.399185753458,2360.0623207540875,2360.129678042557,2347.288014552148,2335.0204607683268,2327.7470545868114,2328.9772613160794,2329.103262096893,2328.332900048348,2329.7945791956417,2331.8665747657933,2332.155381246138,2340.0432902194043,2349.25745420781,2364.184161074301,2375.7878485882943,2396.5809739466863,2431.622582391043,2479.666843403025,2534.4226074851576,2576.8293393855265,2603.361463478264,2618.746121399277,2636.6938870744707,2656.615233816241,2682.938929177247,2708.014729353851,2739.026613918269,2765.122919308784,2789.847964912808,2809.742019043916,2824.7023002383426,2830.691353964516,2825.981479719096,2817.8430620920512,2810.387168176662,2809.893680095984,2815.495026338179,2829.1437254372986,2841.280664078606,2851.207272390106,2859.394068859629,2871.594261646987,2883.9165397133406,2887.3088508722126,2884.808493912968,2872.152718075577,2865.81059193236,2871.25969025191,2884.6467763080745,2901.529114988051,2911.722714892464,2926.292759121929,2939.666326314531,2953.144346754411,2959.110453712576,2963.1533605661684,2960.439673856575
"Chicago, IL",1376.8901426916104,1383.6765185788329,1393.2158373342534,1402.0693182838545,1412.3661331700382,1421.8045320901003,1426.2509232259497,1428.7078173017226,1423.735284449253,1416.9018233031811,1410.5049914587144,1410.8810930132936,1418.4547407236155,1427.672591236935,1438.61076689107,1446.0252097079515,1453.8084039381044,1461.696390211806,1467.9458684464837,1471.5107255609394,1464.6961378038875,1454.7895790761518,1443.2297499809033,1437.797553536712,1444.040783068205,1457.7130929757072,1475.8723113807132,1489.1288985370036,1500.551141258741,1506.265798275493,1508.096435607422,1503.4814930110483,1497.6259601392176,1486.7595789743814,1480.1137399274126,1477.4556361747166,1485.474110891566,1496.6584620585168,1509.8709930214536,1520.9765520294222,1530.8927429138837,1539.3362747398303,1543.7650948869032,1541.8750279105118,1532.170191215315,1520.9569352974568,1513.79545319313,1514.6421540769884,1523.5852157134627,1533.9365689407052,1548.9802697473742,1561.43312566881,1573.2113888067895,1579.9580927795937,1583.1239921550464,1582.7281873377838,1577.906970259921,1571.196486407102,1564.5080146590794,1559.9967830853698,1568.4144499229208,1580.082711791609,1594.3799109065717,1595.4872724385764,1594.1458406014317,1591.1732842727406,1590.2826560257222,1584.4804164029258,1570.3626935934706,1549.3582148084315,1531.896110633509,1524.3804059894076,1526.1413399921014,1537.2820157873346,1553.6831941069931,1579.612491632449,1605.906908756039,1631.3537732886348,1650.4099390065585,1663.57235453132,1670.8905724065037,1670.469602596329,1670.5222014604728,1675.3729947711263,1688.4553357109094,1703.937109054271,1723.5553570249012,1746.8188810483152,1772.1409941214602,1792.6258444629375,1808.892604184612,1816.6021255095689,1817.806194885639,1814.046797163258,1809.155088828947,1809.3929617155432,1816.267034975675,1830.3187973262577,1847.8672608099068,1866.0373112794848,1886.8025075974392,1905.4242643572657,1917.6034600324035,1924.0422548819556,1920.9173404717376,1913.1915581652104,1905.311547049434,1907.9573356957828,1917.9953558546383,1933.0286809048105,1947.2435018567137,1967.1962868287303,1985.3492447151743,2002.663745840932,2011.5938818983043,2014.9487272966485,2013.2867367468168,2012.1346441827156
"Dallas, TX",1102.5202289363506,1107.5804198098415,1115.085597797554,1127.1124553960892,1136.9762543429615,1145.4821987980265,1151.7981470857549,1155.5796594875633,1156.9874854594318,1156.9352121629884,1157.813590115849,1159.6719534092072,1161.3416958714067,1166.848496877214,1175.4030656855089,1186.3801431366014,1195.025511170876,1201.8076275842443,1206.5475049260262,1210.066815825679,1210.804452250006,1211.223998932193,1211.1280261042616,1211.4827932041435,1216.4743802944663,1222.5128990185642,1235.222317908257,1244.6977135580344,1257.2417487779228,1263.4636358095106,1268.6159888424984,1269.750047897048,1268.8282037894055,1266.386043132473,1267.64098926901,1268.4502990837332,1273.2321081938885,1279.278042719389,1286.5775921969498,1294.2533649747384,1299.2863728829727,1307.5090085925542,1311.4887363895316,1313.5229021745895,1310.807641165894,1312.5494218947526,1313.4411852477683,1316.1331173749847,1318.853119619578,1323.5973898268735,1334.6904888652412,1344.082530940342,1353.1319788681649,1359.975725695806,1363.4454338530522,1365.8571097905806,1364.962830799637,1363.8595056692727,1361.5145893867934,1357.5874680236536,1360.1965129427433,1366.2271385934348,1374.975454707438,1375.27888411382,1374.4058473247364,1375.218281272462,1379.6390078265315,1383.6721850527092,1385.6470449674648,1388.598460537608,1390.2883298743518,1393.783684834089,1399.4071093638715,1409.291441557868,1420.492688860145,1439.4834392099108,1465.0800389524468,1499.184834222099,1534.2177349286897,1566.2404816000349,1590.238889680739,1604.9740068381352,1617.422720969422,1627.5312705645158,1638.912942080732,1650.7378811153046,1664.0628691700358,1683.8019443056276,1706.467918586908,1735.5853051310708,1756.5222029249874,1764.906066761495,1760.6356038311462,1747.7305342372968,1737.8942106152874,1728.69740382707,1728.7954751596062,1731.085752509235,1742.1623160349486,1746.1874420554284,1754.1864423339086,1758.4831133041082,1766.7090810740058,1768.1442455185238,1763.2233400612736,1756.1811637416934,1750.3158507296791,1744.1499197255584,1741.246848157169,1738.8966404463824,1743.6159554062297,1748.5287480075167,1756.5549193848249,1762.601323291576,1768.6780759136846,1771.4396983841514,1767.8377609657384,1760.8881378848191
"Houston, TX",1233.9008829644536,1237.6423549975111,1244.2579599735486,1254.2964694872446,1263.9050046984275,1272.1963720386518,1274.4897711874205,1275.7901788007869,1273.3776705076414,1269.7655508287708,1265.8332873630538,1262.9194737889102,1263.9090343054067,1266.4828202136057,1272.7572711802436,1276.8004597501251,1279.5135021613194,1280.3342844751644,1280.060550909703,1277.6244343480437,1272.2469368354014,1268.5277246378744,1263.2634055174797,1261.2112676717218,1261.8910459736023,1269.8948852616616,1278.1148408192353,1283.2285415623514,1290.591604040244,1292.5393905709416,1293.3179489815216,1288.2224043932065,1295.186588390479,1303.2763453271064,1314.5666223381672,1319.882735420347,1323.269930975327,1328.8679018590842,1330.669861014882,1337.4662943860444,1340.090998276132,1345.5404824440943,1345.5506823773371,1344.09102426786,1339.741783800765,1340.4329812665287,1342.9355647339928,1343.5613702836897,1344.417989016776,1343.1852098460024,1350.2846883870486,1355.1381675373088,1363.9948298057316,1369.8128887539951,1373.434547807687,1372.8836306140051,1369.8246331173243,1369.215428162476,1369.1587137451156,1372.4861005913633,1375.205463346223,1381.790305997444,1387.0568332485368,1384.3133169409057,1377.2426153820234,1371.4835368113377,1375.398175384886,1380.572535596321,1381.7607008848283,1384.0338793700096,1385.922152806134,1387.0045907925055,1388.8420660797003,1389.439721539342,1397.2720446227122,1409.898367187779,1431.623924530773,1459.5558759354335,1485.5954143913232,1509.531252013892,1523.2806570675784,1531.2636348314277,1535.528370381881,1539.7455550596926,1546.4732032348986,1556.635653164176,1567.6153410531251,1580.622072705025,1592.9756382596822,1608.2693268738565,1620.3428687062412,1626.6693103383725,1624.497997074815,1619.4741730548249,1613.4664116166034,1612.122505627488,1615.9379308367588,1624.0833822315412,1635.8236035003752,1641.9879498887822,1651.8650778209642,1659.38334859749,1666.3423447131288,1667.0971834562033,1662.665974823446,1657.5002761749383,1652.578974032213,1652.0434991529626,1656.1432640618375,1662.442735997435,1668.1207477056537,1676.3767078129472,1686.0327213096314,1695.705603544921,1700.7640479651625,1703.4648696069862,1704.1520856045408,1703.0568419872543
"Washington, DC",1722.0010780387406,1728.6185376693754,1739.7956981244422,1748.0906207798637,1757.6581635072375,1764.6898646949944,1768.8330385941504,1766.3812302895203,1765.3573962952548,1760.425275340535,1760.0802191838989,1755.9395250394466,1759.6849997104994,1763.0973126871406,1771.4183468364372,1778.9747138955177,1788.23034931298,1794.870061449034,1798.873101070525,1799.5789482437262,1795.768055052183,1790.0312938335244,1784.4119238425692,1781.1761412507776,1786.646970487052,1798.1044291467483,1812.2530360977405,1823.232286131868,1829.9219950169409,1837.32584814138,1840.6091141108368,1840.3584852468343,1837.9903514712205,1832.8423638815225,1827.1905419827983,1823.0182821306896,1825.8380685229677,1832.493301069287,1845.275108063564,1856.967908092972,1868.4690401096743,1876.8584152406945,1882.675628631192,1886.8322025313184,1882.252214631221,1879.7412216647635,1880.36166010792,1885.087105592812,1889.372291061953,1895.3298224741025,1905.0975475149785,1916.4866292341992,1927.4518188382888,1936.6745515361572,1942.149794265628,1943.628946878588,1943.132230978016,1937.1852694221077,1931.105172494998,1931.7599730326392,1940.5678218675848,1949.9484704940512,1959.3042331737468,1958.015752388364,1955.188376271595,1948.524597413617,1946.7081599079663,1942.1627672313496,1928.2660159177733,1910.7371809528893,1890.7265051545037,1880.3657207968145,1881.818612557732,1889.634619243259,1899.9885617014977,1915.1703811732127,1943.498231395036,1981.1530711560104,2019.7790325861013,2051.301636425151,2070.756109948579,2080.7594866305226,2081.5070752082456,2082.025234416601,2083.785243000232,2095.30050321934,2113.871948010945,2137.470988255507,2163.199487202023,2188.797522863604,2213.748792222046,2225.504806563489,2225.7818736101103,2209.6364627021567,2193.040024241829,2180.5556403332694,2182.873866449368,2195.1401083985565,2217.922400194044,2233.863630120485,2252.058606800326,2263.7008507759924,2279.9951189880794,2290.148029205124,2293.356056248523,2290.2555030451,2283.729323935576,2277.8350230026304,2283.377249455559,2299.344700483572,2322.7909603294097,2342.145005106168,2359.90931170068,2378.76371095016,2395.0282251079825,2403.7226987858994,2403.379254188865,2393.522636111088
"Philadelphia, PA",1236.021482989084,1242.6270341300765,1254.7817538516338,1261.593493411124,1267.2450503649404,1270.1461681014175,1272.378133896753,1273.4244502758097,1272.9424525578038,1272.2201917447546,1268.248525506338,1264.7275319158557,1265.7044983166222,1274.4097990640637,1283.8791740765328,1292.952316823687,1298.760893894963,1305.829655654053,1307.1442366970823,1306.9061651899842,1304.012987285522,1302.112872651143,1304.273519911398,1303.9757164397197,1308.7325414748543,1314.684704048496,1326.6143948048823,1335.0745802465744,1340.9062482439372,1341.9886497952118,1342.7974945637584,1342.7364149759983,1342.3320731852316,1341.2029059823335,1339.9264026049536,1342.5940830247018,1346.509484111146,1354.48403619516,1365.2941929841024,1375.0426956985866,1383.8486207394149,1387.5466342204063,1388.2932031837786,1387.2121086833254,1385.7482229685018,1387.7374288153774,1391.2838729355146,1391.4462877826231,1395.782800607098,1402.7001306586874,1416.804332988957,1427.5929969045817,1434.4445500760623,1441.7208844132065,1445.0088158208966,1445.1395846386265,1441.3346882530354,1440.4926835735962,1440.5004242180808,1443.9005538447598,1447.3419628288336,1458.506246940067,1468.882827157989,1473.1328523814907,1473.0796454259178,1473.2189208128543,1478.6476561718953,1478.733918081825,1478.4039256891992,1477.5992694879387,1479.736997836712,1483.242768526913,1487.748198155888,1494.3644655952182,1502.304253175682,1517.9305764415133,1539.5229826941593,1561.1367758253243,1580.9622203180431,1598.4947310010175,1607.2043079325442,1617.3305786774638,1625.4334357376017,1642.7857284259355,1652.4342411500477,1664.0801962407309,1674.4177400960796,1688.9581417449683,1703.2319972045698,1718.6885400142912,1731.895898358431,1738.461865764754,1739.2491774426703,1734.3941510119869,1732.282853395059,1729.122640012891,1733.068142731054,1735.3373791541612,1746.586163396973,1755.655279558599,1767.252143601568,1772.5707216580222,1781.1359697093922,1788.3019186549873,1797.3797938621672,1800.4885462912423,1801.5428836210729,1798.7419469892077,1800.6388920658308,1808.3611939240575,1817.8045500858152,1826.319565894806,1833.385423799161,1842.786294900582,1852.1969289765573,1860.0281027350084,1864.5169911960052,1868.2287557001707
"Miami, FL",1502.5160376178212,1508.7012348254975,1514.1169124926737,1521.1199353400311,1529.9644056988277,1539.027218255065,1548.3214900409353,1555.7285464635386,1566.986850937625,1574.933590590556,1584.6523683850862,1587.5616511769513,1591.3910396282165,1592.9052106262511,1596.40667261819,1597.008159362015,1596.4654252452344,1595.7722439980937,1598.6101827338373,1601.7110688824448,1607.1452854612337,1610.182086374355,1614.2005506685205,1613.9678914616495,1618.8739578735713,1622.3506916483084,1630.0965380263367,1632.5096639704834,1634.9986571147056,1637.929307479059,1643.4980159902448,1650.8829294130394,1658.0156644128865,1663.422957273273,1665.4922471166235,1666.249698364941,1668.3396070477468,1671.1361367316397,1675.05607897733,1679.149642862257,1683.6873012757144,1689.167445827006,1695.321541989649,1702.1273293189693,1706.9665383473862,1713.4298462852576,1720.4122561350457,1726.082568687845,1726.1432870257756,1724.4518726066535,1725.643942197226,1729.253573853895,1734.5687593218315,1738.9868337982057,1744.2699846716746,1748.8374815337893,1755.3115689946474,1764.3691057140077,1774.5147699515494,1781.528518119298,1784.0454168127133,1787.487773339427,1788.0347325839216,1781.763829345854,1771.943422451753,1770.6942908733351,1776.0119958069877,1782.0532295739074,1787.405842364345,1800.5751347109424,1819.2447016593849,1835.399187407369,1850.9526252017952,1874.0584805787016,1902.9775819809736,1937.8620154844025,1978.191698176587,,,2163.7551794381143,2224.4747569367523,2269.753671421934,2315.6264990087675,2362.846939340721,2406.942862016829,2442.1841417301207,2480.487263268924,2520.6574319420483,2560.345887752623,2587.446958902892,2608.241546031017,2617.177095317329,2626.071005844817,2629.8829420110337,2638.034672056979,2642.2945900831587,2642.175595245549,2643.528095515038,2648.530888021225,2656.827424904062,2664.722515179216,2671.322078313336,2677.343219112958,2682.757931284718,2688.456841809268,2697.990109193766,2705.524384220685,2703.794477548699,2703.083595036343,2709.370128298306,2720.6026614732527,2730.29078203526,2731.878160121761,2735.7212907824724,2741.154115899516,2747.741976887196,2754.9328405786528,2755.4427163659843
"Atlanta, GA",1038.267541188767,1043.6414900906543,1047.27058943844,1057.6108081841971,1065.5440714204376,1077.16702207108,1083.5095887751245,1086.992869690788,1087.5628054034205,1087.945906993183,1089.0035979698248,1092.4573405652525,1096.677063678315,1103.8250977090977,1111.264490647298,1118.7952308253325,1127.7412943893553,1136.8643938910195,1145.9204285739577,1149.9717487038506,1149.9906260324476,1149.8869421106583,1150.147652314537,1152.568721363279,1157.0154959814256,1165.4542343145963,1177.337403036433,1189.3568875999576,1201.723502538089,1212.3340079859836,1221.2095396421894,1225.218334085935,1227.612349658341,1224.9776562390834,1226.7578605325227,1228.0424104949473,1235.3769284022603,1243.4102048717225,1255.084122888294,1267.232745346953,1278.316508501752,1287.0360259279937,1292.822603942034,1295.9666985506717,1296.3900343699222,1301.6320543931324,1306.7782983923798,1312.1046760050035,1318.007422110282,1325.8186893983827,1338.4954876250838,1349.1798720887425,1359.6020405279385,1368.2285077555173,1373.4817243652446,1378.041459400754,1380.456872645853,1379.8863146438614,1376.981714291844,1376.6697773057256,1381.544534588386,1390.2292585337611,1398.461920158148,1401.298107199581,1404.4514572985993,1411.8221177838702,1427.1907513364554,1441.0902820660142,1450.8888911654435,1457.8346769228142,1463.7650759385,1469.9082756063435,1481.4894551954435,1498.433660393356,1518.0444855903984,1541.4368917005984,1570.643582276862,1610.4286139251424,1653.661181242972,1697.1556856013904,1728.7417766393123,1748.5315174817358,1755.6850023956697,1759.0654646303535,1762.8883146082294,1769.8956548402714,1782.545583378081,1795.9338379841574,1815.129331398504,1835.9346165452755,1860.124121174347,1872.5554673737768,1875.632932747081,1866.0250562024476,1856.6344097179267,1852.6322997134232,1851.8096316665012,1857.6539563004785,1867.0838278999936,1874.873524814248,1880.3806719758848,1880.751655909177,1884.9329189980044,1884.8662676768715,1882.6306786493665,1872.1046502121412,1860.7564189311984,1853.133903315945,1859.6048134545745,1871.8376963621467,1879.0127110087824,1884.0149613963656,1889.9717861813876,1897.9698743306008,1903.309123035028,1901.6176636534276,1904.639070452534,1899.7017322287556
"Boston, MA",1949.8563106006145,1971.9380756636724,1996.4884604882373,2013.8522456785408,2029.345185329749,2041.923261391713,2043.9361736125647,2038.9584795484056,2026.1302270540536,2014.8210954089225,2011.0530027367265,2015.762516265273,2033.7205001559803,2061.6828831646726,2079.2618528299954,2092.164615257084,2100.6607073299706,2116.212871479757,2122.8353867656,2121.6704063133475,2109.764381985906,2094.6301410290976,2078.9910799996114,2078.817462305791,2104.6336854405627,2137.918470552388,2168.098116215332,2180.966843455649,2188.26764339118,2195.4605109812783,2198.2637823475216,2191.692637878703,2174.042745323462,2152.4172131678806,2149.469688076081,2164.381995773573,2191.704324198799,2214.6882443990185,2233.4766670819818,2248.159639302981,2262.512297985565,2269.846362001382,2273.7212853197098,2263.6571314658345,2247.3126783080684,2231.4118988562896,2225.7549326726767,2236.073171892781,2257.392800565385,2282.802563898884,2303.5763337202225,2317.676347416894,2331.357740468389,2343.204245620318,2351.124210438673,2344.191693074266,2331.1664330899507,2312.801881708618,2307.6030337567886,2316.95451415402,2339.340796193389,2365.706818544798,2386.362526068714,2384.7566518091458,2373.439150717764,2355.2518788865373,2337.623428869701,,,2195.531113260144,2171.920575500652,2173.1779668047625,2192.8392584560083,2222.9878331732198,2253.536509455532,2282.435065444611,2318.2544448382896,2357.742218287221,2395.002047916202,2415.5212326702217,2433.6071517688297,2447.707321339838,2464.749354233371,2473.5109418901216,2485.513485689381,2493.766660331871,2515.009047687389,2545.434995553869,2587.9336124907245,2627.9980259863955,2659.973406651395,2678.352517806365,2691.060171917665,2688.3263191218957,2686.7550472277853,2680.259958838521,2684.449256017081,2700.929675130051,2727.431404889976,2760.15150316054,2788.2103155703035,2811.0011868167585,2825.794666068094,2829.2411445981893,2827.8346900564825,2820.857507780545,2826.210099323992,2831.2702742688266,2850.005930278637,2867.0269044963934,2889.245848140288,2907.61064640667,2927.05449158007,2941.3328750377427,2947.7261091505434,2933.8545435406045,2920.4301535253094,2905.509095835617
