NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E
"Aberdeen, WA Micro Area",,,,,,,,,,,,,,
"Abilene, TX",884.0,2217.0,1018.0,445.0,1463.0,4139.0,3779.0,7918.0,6016.0,17391.0,23407.0,35005.0,142731.0,178620.0
"Adrian, MI Micro Area",,,,,,,,,,,,,,
"Aguadilla-Isabela, PR",,,,,,,,,,,,,,
"Akron, OH",2302.0,1067.0,1386.0,1215.0,2601.0,22841.0,9151.0,31992.0,31009.0,23327.0,54336.0,89996.0,599277.0,691575.0
"Alamogordo, NM Micro Area",,,,,,,,,,,,,,
"Albany, GA",752.0,964.0,177.0,278.0,455.0,3589.0,1443.0,5032.0,4143.0,5052.0,9195.0,15646.0,128284.0,144682.0
"Albany-Lebanon, OR",40.0,0.0,241.0,47.0,288.0,2571.0,3298.0,5869.0,4214.0,5738.0,9952.0,16109.0,112991.0,129140.0
"Albany-Schenectady-Troy, NY",3175.0,1989.0,4814.0,590.0,5404.0,19366.0,15159.0,34525.0,44766.0,28128.0,72894.0,114812.0,777769.0,895756.0
"Albertville, AL Micro Area",,,,,,,,,,,,,,
"Albuquerque, NM",4154.0,2001.0,2249.0,1648.0,3897.0,14649.0,20156.0,34805.0,15603.0,52062.0,67665.0,108368.0,802317.0,914839.0
"Alexandria, LA",2942.0,1177.0,509.0,462.0,971.0,1248.0,2696.0,3944.0,8443.0,1956.0,10399.0,16491.0,127861.0,147294.0
"Allentown-Bethlehem-Easton, PA-NJ",4156.0,37.0,1060.0,326.0,1386.0,18510.0,12227.0,30737.0,28937.0,13959.0,42896.0,75056.0,783211.0,862423.0
"Altoona, PA",107.0,481.0,527.0,0.0,527.0,2273.0,1012.0,3285.0,2927.0,2955.0,5882.0,10175.0,109775.0,120057.0
"Amarillo, TX",527.0,1837.0,366.0,489.0,855.0,1955.0,3181.0,5136.0,1741.0,19168.0,20909.0,28737.0,238176.0,267440.0
"Ames, IA",1347.0,2020.0,200.0,1504.0,1704.0,8624.0,4505.0,13129.0,3314.0,7164.0,10478.0,27331.0,96670.0,125348.0
"Anchorage, AK",2527.0,2278.0,715.0,263.0,978.0,10446.0,6450.0,16896.0,8239.0,26658.0,34897.0,55049.0,337299.0,394875.0
"Ann Arbor, MI",4694.0,723.0,1730.0,532.0,2262.0,22742.0,14561.0,37303.0,12801.0,18209.0,31010.0,71298.0,287749.0,363741.0
"Anniston-Oxford, AL",277.0,1145.0,511.0,12.0,523.0,3479.0,1824.0,5303.0,7065.0,4062.0,11127.0,18098.0,95707.0,114082.0
"Appleton, WI",1331.0,782.0,1087.0,306.0,1393.0,4308.0,2725.0,7033.0,6553.0,5478.0,12031.0,21239.0,219224.0,241794.0
"Arecibo, PR",,,,,,,,,,,,,,
"Asheville, NC",1397.0,573.0,2335.0,533.0,2868.0,9353.0,12538.0,21891.0,20454.0,4924.0,25378.0,50710.0,419692.0,471799.0
"Ashtabula, OH Micro Area",,,,,,,,,,,,,,
"Athens, TX Micro Area",,,,,,,,,,,,,,
"Athens-Clarke County, GA",1521.0,665.0,1307.0,827.0,2134.0,15830.0,5882.0,21712.0,4991.0,14997.0,19988.0,44499.0,172817.0,218837.0
"Atlanta-Sandy Springs-Alpharetta, GA",43558.0,7355.0,10264.0,4808.0,15072.0,101399.0,98149.0,199548.0,419069.0,96954.0,516023.0,737998.0,5369318.0,6150874.0
"Atlantic City-Hammonton, NJ",1273.0,0.0,0.0,0.0,0.0,6810.0,2950.0,9760.0,8035.0,4155.0,12190.0,21950.0,250257.0,273480.0
"Auburn, NY Micro Area",,,,,,,,,,,,,,
