Geographic Area,Base Population (2020),Population 2020,Population 2021,Population 2022,Population 2023
"Abilene, TX",176562.0,176883.0,177831.0,179665.0,181591.0
"Akron, OH",702225.0,701674.0,696512.0,697511.0,698398.0
"Albany, GA",148915.0,148249.0,144933.0,145796.0,145508.0
"Albany, OR",128611.0,128981.0,130120.0,130622.0,131496.0
"Albany-Schenectady-Troy, NY",899247.0,899724.0,904824.0,903595.0,904682.0
"Albuquerque, NM",916545.0,917579.0,919392.0,920138.0,922296.0
"Alexandria, LA",152184.0,151800.0,150882.0,149068.0,148171.0
"Allentown-Bethlehem-Easton, PA-NJ",861910.0,861557.0,870135.0,870570.0,873555.0
"Altoona, PA",122827.0,122666.0,122150.0,120734.0,120273.0
"Amarillo, TX",268683.0,269029.0,269804.0,270589.0,272395.0
"Ames, IA",125242.0,125347.0,126440.0,124836.0,125156.0
"Amherst Town-Northampton, MA",162316.0,146616.0,163128.0,162518.0,162502.0
"Anchorage, AK",398312.0,398397.0,400167.0,400455.0,401314.0
"Ann Arbor, MI",372258.0,371834.0,365013.0,366504.0,365536.0
"Anniston-Oxford, AL",116441.0,116243.0,115678.0,115780.0,116429.0
"Appleton, WI",243153.0,243451.0,243903.0,244981.0,246433.0
"Asheville, NC",406933.0,407563.0,410828.0,413969.0,417202.0
"Athens-Clarke County, GA",215422.0,215712.0,218314.0,220331.0,222060.0
"Atlanta-Sandy Springs-Roswell, GA",6106847.0,6120849.0,6159696.0,6238676.0,6307261.0
"Atlantic City-Hammonton, NJ",369798.0,369234.0,370662.0,370787.0,369823.0
"Auburn-Opelika, AL",193774.0,194218.0,196501.0,199230.0,201585.0
"Augusta-Richmond County, GA-SC",610978.0,612172.0,616187.0,623985.0,629429.0
"Austin-Round Rock-San Marcos, TX",2283379.0,2300135.0,2358634.0,2423170.0,2473275.0
"Bakersfield-Delano, CA",909229.0,905910.0,912709.0,916751.0,913820.0
"Baltimore-Columbia-Towson, MD",2844523.0,2842668.0,2843219.0,2834813.0,2834316.0
"Bangor, ME",152187.0,152169.0,153359.0,154728.0,155312.0
"Barnstable Town, MA",228995.0,228012.0,232315.0,232078.0,231735.0
