DATE,Metro_Area_Code,Average_Weekly_Wage
2000-01-01,ENUC120640010SA,758.092970287135
2000-04-01,ENUC120640010SA,756.381796134814
2000-07-01,ENUC120640010SA,765.136806768243
2000-10-01,ENUC120640010SA,763.784495836564
2001-01-01,ENUC120640010SA,772.837435465593
2001-04-01,ENUC120640010SA,775.3118677472
2001-07-01,ENUC120640010SA,774.587813403404
2001-10-01,ENUC120640010SA,780.65059020661
2002-01-01,ENUC120640010SA,782.359257801804
2002-04-01,ENUC120640010SA,789.828876242001
2002-07-01,ENUC120640010SA,785.608192720152
2002-10-01,ENUC120640010SA,789.478710510707
2003-01-01,ENUC120640010SA,801.69988905795
2003-04-01,ENUC120640010SA,807.109249236402
2003-07-01,ENUC120640010SA,806.3368452755769
2003-10-01,ENUC120640010SA,814.139372846569
2004-01-01,ENUC120640010SA,810.849169742156
2004-04-01,ENUC120640010SA,825.7290421467129
2004-07-01,ENUC120640010SA,834.699948517765
2004-10-01,ENUC120640010SA,856.11543749153
2005-01-01,ENUC120640010SA,823.263376888317
2005-04-01,ENUC120640010SA,848.24012738675
2005-07-01,ENUC120640010SA,877.581687797524
2005-10-01,ENUC120640010SA,882.065447871561
2006-01-01,ENUC120640010SA,882.113368647784
2006-04-01,ENUC120640010SA,871.675520041276
2006-07-01,ENUC120640010SA,881.851816350331
2006-10-01,ENUC120640010SA,892.650196894625
2007-01-01,ENUC120640010SA,929.8283421332152
2007-04-01,ENUC120640010SA,942.53077058411
2007-07-01,ENUC120640010SA,917.8717299919052
2007-10-01,ENUC120640010SA,910.607597716715
2008-01-01,ENUC120640010SA,927.954346379285
2008-04-01,ENUC120640010SA,916.090161268267
2008-07-01,ENUC120640010SA,927.348522494237
2008-10-01,ENUC120640010SA,925.525697714829
2009-01-01,ENUC120640010SA,908.197958882329
2009-04-01,ENUC120640010SA,922.619019473185
2009-07-01,ENUC120640010SA,932.430829094355
2009-10-01,ENUC120640010SA,942.003929606351
2010-01-01,ENUC120640010SA,914.437708282549
2010-04-01,ENUC120640010SA,944.809155380514
2010-07-01,ENUC120640010SA,956.836352280551
2010-10-01,ENUC120640010SA,980.554674685359
2011-01-01,ENUC120640010SA,971.1543292625688
2011-04-01,ENUC120640010SA,973.831929523065
2011-07-01,ENUC120640010SA,1014.67537027342
2011-10-01,ENUC120640010SA,959.467750299602
2012-01-01,ENUC120640010SA,1012.4279229394
2012-04-01,ENUC120640010SA,997.181478310956
2012-07-01,ENUC120640010SA,999.400121371883
2012-10-01,ENUC120640010SA,1013.51285360086
2013-01-01,ENUC120640010SA,1009.63614690945
2013-04-01,ENUC120640010SA,1019.17004917504
2013-07-01,ENUC120640010SA,1014.01765355843
2013-10-01,ENUC120640010SA,1006.9831539871
2014-01-01,ENUC120640010SA,1040.9467703223402
2014-04-01,ENUC120640010SA,1035.32690301599
2014-07-01,ENUC120640010SA,1041.93815962516
2014-10-01,ENUC120640010SA,1048.12021647986
2015-01-01,ENUC120640010SA,1052.15220349108
2015-04-01,ENUC120640010SA,1064.46879976065
2015-07-01,ENUC120640010SA,1067.16750451691
2015-10-01,ENUC120640010SA,1095.74400191623
2016-01-01,ENUC120640010SA,1070.9797301024698
2016-04-01,ENUC120640010SA,1090.0734578752
2016-07-01,ENUC120640010SA,1134.04322341539
2016-10-01,ENUC120640010SA,1090.06322938301
2017-01-01,ENUC120640010SA,1134.1036663183
2017-04-01,ENUC120640010SA,1122.51641183141
2017-07-01,ENUC120640010SA,1118.90698172585
2017-10-01,ENUC120640010SA,1129.46486752393
2018-01-01,ENUC120640010SA,1153.57649388628
2018-04-01,ENUC120640010SA,1140.27270243218
2018-07-01,ENUC120640010SA,1152.86046499708
2018-10-01,ENUC120640010SA,1155.52725037185
2019-01-01,ENUC120640010SA,1181.60588512574
2019-04-01,ENUC120640010SA,1183.7471718692402
2019-07-01,ENUC120640010SA,1191.05858521762
2019-10-01,ENUC120640010SA,1190.4752096265
2020-01-01,ENUC120640010SA,1220.88369072687
2020-04-01,ENUC120640010SA,1255.5878917561502
2020-07-01,ENUC120640010SA,1269.72601037546
2020-10-01,ENUC120640010SA,1326.09551538562
2021-01-01,ENUC120640010SA,1267.65198636935
2021-04-01,ENUC120640010SA,1326.39397857189
2021-07-01,ENUC120640010SA,1343.7882512561
2021-10-01,ENUC120640010SA,1421.3064808067002
2022-01-01,ENUC120640010SA,1372.57263996353
2022-04-01,ENUC120640010SA,1409.6238976695902
2022-07-01,ENUC120640010SA,1446.06302922501
2022-10-01,ENUC120640010SA,1407.96255450199
2023-01-01,ENUC120640010SA,1437.5003113612302
2023-04-01,ENUC120640010SA,1443.46735622668
2023-07-01,ENUC120640010SA,1435.04850803852
2023-10-01,ENUC120640010SA,1455.12014830714
2024-01-01,ENUC120640010SA,1495.18732877048
2000-01-01,ENUC120640010SA,1495.18732877048
2000-04-01,ENUC120640010SA,1495.18732877048
2000-07-01,ENUC120640010SA,1495.18732877048
2000-10-01,ENUC120640010SA,1495.18732877048
2001-01-01,ENUC120640010SA,1495.18732877048
2001-04-01,ENUC120640010SA,1495.18732877048
2001-07-01,ENUC120640010SA,1495.18732877048
2001-10-01,ENUC120640010SA,1495.18732877048
2002-01-01,ENUC120640010SA,1495.18732877048
2002-04-01,ENUC120640010SA,1495.18732877048
2002-07-01,ENUC120640010SA,1495.18732877048
2002-10-01,ENUC120640010SA,1495.18732877048
2003-01-01,ENUC120640010SA,1495.18732877048
2003-04-01,ENUC120640010SA,1495.18732877048
2003-07-01,ENUC120640010SA,1495.18732877048
2003-10-01,ENUC120640010SA,1495.18732877048
2004-01-01,ENUC120640010SA,1495.18732877048
2004-04-01,ENUC120640010SA,1495.18732877048
2004-07-01,ENUC120640010SA,1495.18732877048
2004-10-01,ENUC120640010SA,1495.18732877048
2005-01-01,ENUC120640010SA,1495.18732877048
2005-04-01,ENUC120640010SA,1495.18732877048
