Geographic Area,Base Population (2020),Year,Population
"Abilene, TX",176562.0,2020,176883.0
"Akron, OH",702225.0,2020,701674.0
"Albany, GA",148915.0,2020,148249.0
"Albany, OR",128611.0,2020,128981.0
"Albany-Schenectady-Troy, NY",899247.0,2020,899724.0
"Albuquerque, NM",916545.0,2020,917579.0
"Alexandria, LA",152184.0,2020,151800.0
"Allentown-Bethlehem-Easton, PA-NJ",861910.0,2020,861557.0
"Altoona, PA",122827.0,2020,122666.0
"Amarillo, TX",268683.0,2020,269029.0
"Ames, IA",125242.0,2020,125347.0
"Amherst Town-Northampton, MA",162316.0,2020,146616.0
"Anchorage, AK",398312.0,2020,398397.0
"Ann Arbor, MI",372258.0,2020,371834.0
"Anniston-Oxford, AL",116441.0,2020,116243.0
"Appleton, WI",243153.0,2020,243451.0
"Asheville, NC",406933.0,2020,407563.0
"Athens-Clarke County, GA",215422.0,2020,215712.0
"Atlanta-Sandy Springs-Roswell, GA",6106847.0,2020,6120849.0
"Atlantic City-Hammonton, NJ",369798.0,2020,369234.0
"Auburn-Opelika, AL",193774.0,2020,194218.0
"Augusta-Richmond County, GA-SC",610978.0,2020,612172.0
"Austin-Round Rock-San Marcos, TX",2283379.0,2020,2300135.0
"Bakersfield-Delano, CA",909229.0,2020,905910.0
"Baltimore-Columbia-Towson, MD",2844523.0,2020,2842668.0
"Bangor, ME",152187.0,2020,152169.0
"Barnstable Town, MA",228995.0,2020,228012.0
"Baton Rouge, LA",870580.0,2020,870286.0
"Battle Creek, MI",134297.0,2020,134200.0
"Bay City, MI",103855.0,2020,103742.0
"Beaumont-Port Arthur, TX",397566.0,2020,397237.0
"Beckley, WV",115066.0,2020,114822.0
"Bellingham, WA",226852.0,2020,227449.0
"Bend, OR",247497.0,2020,248974.0
"Billings, MT",184166.0,2020,184726.0
"Binghamton, NY",247135.0,2020,246504.0
"Birmingham, AL",1180632.0,2020,1181776.0
"Bismarck, ND",133627.0,2020,133785.0
"Blacksburg-Christiansburg-Radford, VA",181854.0,2020,181756.0
"Bloomington, IL",170956.0,2020,170949.0
"Bloomington, IN",161038.0,2020,160903.0
"Boise City, ID",764714.0,2020,770223.0
"Boston-Cambridge-Newton, MA-NH",4944611.0,2020,4933650.0
"Boulder, CO",330759.0,2020,330938.0
"Bowling Green, KY",179639.0,2020,180070.0
"Bozeman, MT",118958.0,2020,119597.0
"Bremerton-Silverdale-Port Orchard, WA",275612.0,2020,275823.0
"Bridgeport-Stamford-Danbury, CT",946293.0,2020,942755.0
"Brownsville-Harlingen, TX",421020.0,2020,421480.0
"Brunswick-St. Simons, GA",113494.0,2020,113511.0
"Buffalo-Cheektowaga, NY",1166897.0,2020,1164468.0
"Burlington, NC",171426.0,2020,171960.0
"Burlington-South Burlington, VT",225563.0,2020,225717.0
"Canton-Massillon, OH",401580.0,2020,401224.0
"Cape Coral-Fort Myers, FL",760814.0,2020,765547.0
"Cape Girardeau, MO-IL",97523.0,2020,97552.0
"Carson City, NV",58646.0,2020,58686.0
"Casper, WY",79966.0,2020,80299.0
"Cedar Rapids, IA",276524.0,2020,276621.0
"Chambersburg, PA",155945.0,2020,155949.0
"Champaign-Urbana, IL",236075.0,2020,235848.0
"Charleston, WV",210605.0,2020,209982.0
"Charleston-North Charleston, SC",799636.0,2020,803475.0
"Charlotte-Concord-Gastonia, NC-SC",2660348.0,2020,2669651.0
"Charlottesville, VA",221526.0,2020,221620.0
"Chattanooga, TN-GA",562648.0,2020,563952.0
"Cheyenne, WY",100512.0,2020,100730.0
"Chicago-Naperville-Elgin, IL-IN",9450304.0,2020,9435217.0
"Chico, CA",211630.0,2020,210151.0
"Cincinnati, OH-KY-IN",2249781.0,2020,2251974.0
"Clarksville, TN-KY",320518.0,2020,321827.0
"Cleveland, OH",2185727.0,2020,2184115.0
"Cleveland, TN",126164.0,2020,126394.0
"Coeur d'Alene, ID",171363.0,2020,172785.0
"College Station-Bryan, TX",268244.0,2020,268953.0
"Colorado Springs, CO",755112.0,2020,757128.0
"Columbia, MO",210862.0,2020,210850.0
"Columbia, SC",829466.0,2020,830137.0
"Columbus, GA-AL",328887.0,2020,329196.0
"Columbus, IN",82211.0,2020,82218.0
