NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E,Year
"San Luis Obispo-Paso Robles, CA",899.0,200.0,778.0,553.0,1331.0,10085.0,6401.0,16486.0,21954.0,12722.0,34676.0,52693.0,183207.0,236799.0,2005
"Santa Barbara-Santa Maria, CA",2725.0,0.0,166.0,375.0,541.0,11348.0,12246.0,23594.0,20148.0,31932.0,52080.0,76215.0,298263.0,377203.0,2005
"Santa Cruz-Watsonville, CA",2091.0,101.0,534.0,58.0,592.0,4430.0,5159.0,9589.0,9915.0,20154.0,30069.0,40351.0,193922.0,236364.0,2005
"Santa Fe, NM",935.0,432.0,4543.0,364.0,4907.0,2301.0,5354.0,7655.0,1465.0,14703.0,16168.0,29162.0,107068.0,137165.0,2005
"Santa Rosa-Petaluma, CA",1653.0,467.0,521.0,882.0,1403.0,5506.0,8401.0,13907.0,26116.0,32632.0,58748.0,74525.0,371327.0,447505.0,2005
"Sarasota-Bradenton-Venice, FL",4870.0,979.0,1708.0,1144.0,2852.0,28780.0,14790.0,43570.0,26061.0,48923.0,74984.0,122385.0,527776.0,655031.0,2005
"Savannah, GA",1722.0,519.0,1515.0,790.0,2305.0,6044.0,9284.0,15328.0,14401.0,21026.0,35427.0,53579.0,243366.0,298667.0,2005
"Scranton--Wilkes-Barre, PA",1891.0,1064.0,1036.0,1303.0,2339.0,6008.0,5989.0,11997.0,33937.0,12582.0,46519.0,61919.0,459818.0,523628.0,2005
"Seaford, DE Micro Area",1891.0,1064.0,1036.0,1303.0,2339.0,6008.0,5989.0,11997.0,33937.0,12582.0,46519.0,61919.0,459818.0,523628.0,2005
"Searcy, AR Micro Area",1891.0,1064.0,1036.0,1303.0,2339.0,6008.0,5989.0,11997.0,33937.0,12582.0,46519.0,61919.0,459818.0,523628.0,2005
"Seattle-Tacoma-Bellevue, WA",34128.0,4720.0,8257.0,9673.0,17930.0,50547.0,68790.0,119337.0,253902.0,203211.0,457113.0,599100.0,2461118.0,3094346.0,2005
"Sebring, FL Micro Area",34128.0,4720.0,8257.0,9673.0,17930.0,50547.0,68790.0,119337.0,253902.0,203211.0,457113.0,599100.0,2461118.0,3094346.0,2005
"Seneca, SC Micro Area",34128.0,4720.0,8257.0,9673.0,17930.0,50547.0,68790.0,119337.0,253902.0,203211.0,457113.0,599100.0,2461118.0,3094346.0,2005
"Sevierville, TN Micro Area",34128.0,4720.0,8257.0,9673.0,17930.0,50547.0,68790.0,119337.0,253902.0,203211.0,457113.0,599100.0,2461118.0,3094346.0,2005
"Shawnee, OK Micro Area",34128.0,4720.0,8257.0,9673.0,17930.0,50547.0,68790.0,119337.0,253902.0,203211.0,457113.0,599100.0,2461118.0,3094346.0,2005
"Sheboygan, WI",21.0,0.0,288.0,318.0,606.0,2006.0,1691.0,3697.0,3925.0,8213.0,12138.0,16441.0,93411.0,109873.0,2005
"Shelby, NC Micro Area",21.0,0.0,288.0,318.0,606.0,2006.0,1691.0,3697.0,3925.0,8213.0,12138.0,16441.0,93411.0,109873.0,2005
"Sherman-Denison, TX",99.0,287.0,894.0,496.0,1390.0,1409.0,3598.0,5007.0,2662.0,9442.0,12104.0,18788.0,93964.0,112851.0,2005
"Shreveport-Bossier City, LA",1564.0,1757.0,2227.0,1693.0,3920.0,4428.0,5036.0,9464.0,11384.0,36737.0,48121.0,63262.0,305070.0,369896.0,2005
"Sierra Vista-Douglas, AZ Micro Area",1564.0,1757.0,2227.0,1693.0,3920.0,4428.0,5036.0,9464.0,11384.0,36737.0,48121.0,63262.0,305070.0,369896.0,2005
"Sioux City, IA-NE-SD",482.0,1056.0,62.0,1154.0,1216.0,625.0,1944.0,2569.0,8409.0,11675.0,20084.0,24925.0,112109.0,137516.0,2005
"Sioux Falls, SD",586.0,2514.0,1385.0,2135.0,3520.0,2605.0,2480.0,5085.0,4311.0,21172.0,25483.0,36602.0,160195.0,197383.0,2005
"Somerset, PA Micro Area",586.0,2514.0,1385.0,2135.0,3520.0,2605.0,2480.0,5085.0,4311.0,21172.0,25483.0,36602.0,160195.0,197383.0,2005
"South Bend-Mishawaka, IN-MI",1485.0,171.0,780.0,293.0,1073.0,4731.0,4264.0,8995.0,7643.0,12807.0,20450.0,30689.0,268755.0,300929.0,2005
"Southern Pines-Pinehurst, NC Micro Area",1485.0,171.0,780.0,293.0,1073.0,4731.0,4264.0,8995.0,7643.0,12807.0,20450.0,30689.0,268755.0,300929.0,2005
"Spartanburg, SC",1471.0,258.0,290.0,1023.0,1313.0,5035.0,2403.0,7438.0,18060.0,8433.0,26493.0,35502.0,219822.0,256795.0,2005
"Spokane, WA",3060.0,3303.0,1370.0,2068.0,3438.0,8028.0,8068.0,16096.0,18185.0,41435.0,59620.0,82457.0,334947.0,420464.0,2005
"Springfield, IL",692.0,1767.0,749.0,949.0,1698.0,1268.0,2122.0,3390.0,6673.0,15294.0,21967.0,28822.0,170253.0,199767.0,2005
"Springfield, MA",3817.0,266.0,1109.0,153.0,1262.0,8998.0,7306.0,16304.0,53984.0,25197.0,79181.0,97013.0,544989.0,645819.0,2005
"Springfield, MO",519.0,3634.0,1705.0,2558.0,4263.0,6587.0,9257.0,15844.0,25223.0,25297.0,50520.0,74261.0,303380.0,378160.0,2005
"Springfield, OH",247.0,52.0,498.0,0.0,498.0,2935.0,326.0,3261.0,5465.0,9323.0,14788.0,18599.0,118306.0,137152.0,2005
"State College, PA",1781.0,499.0,1028.0,523.0,1551.0,5597.0,5219.0,10816.0,6102.0,8807.0,14909.0,27775.0,93151.0,122707.0,2005
"Statesville-Mooresville, NC Micro Area",1781.0,499.0,1028.0,523.0,1551.0,5597.0,5219.0,10816.0,6102.0,8807.0,14909.0,27775.0,93151.0,122707.0,2005
"Staunton-Waynesboro, VA Micro Area",1781.0,499.0,1028.0,523.0,1551.0,5597.0,5219.0,10816.0,6102.0,8807.0,14909.0,27775.0,93151.0,122707.0,2005
"Stockton, CA",6901.0,949.0,1128.0,557.0,1685.0,11211.0,17610.0,28821.0,33174.0,62334.0,95508.0,126963.0,500957.0,634821.0,2005
"Sumter, SC",604.0,266.0,380.0,240.0,620.0,1563.0,799.0,2362.0,3024.0,2563.0,5587.0,8835.0,91195.0,100634.0,2005
"Sunbury, PA Micro Area",604.0,266.0,380.0,240.0,620.0,1563.0,799.0,2362.0,3024.0,2563.0,5587.0,8835.0,91195.0,100634.0,2005
"Syracuse, NY",2564.0,1488.0,2237.0,1311.0,3548.0,8879.0,5916.0,14795.0,39718.0,26489.0,66207.0,86038.0,532343.0,620945.0,2005
"Talladega-Sylacauga, AL Micro Area",2564.0,1488.0,2237.0,1311.0,3548.0,8879.0,5916.0,14795.0,39718.0,26489.0,66207.0,86038.0,532343.0,620945.0,2005
"Tallahassee, FL",985.0,593.0,536.0,1529.0,2065.0,6124.0,7131.0,13255.0,10494.0,33470.0,43964.0,59877.0,251935.0,312797.0,2005
"Tampa-St. Petersburg-Clearwater, FL",19393.0,5781.0,7536.0,3964.0,11500.0,69930.0,59152.0,129082.0,154340.0,174077.0,328417.0,474780.0,2072079.0,2566252.0,2005
"Terre Haute, IN",410.0,920.0,193.0,130.0,323.0,2000.0,1182.0,3182.0,7917.0,9521.0,17438.0,21863.0,135070.0,157343.0,2005
"Texarkana, TX-Texarkana, AR",184.0,1713.0,304.0,2483.0,2787.0,1399.0,2187.0,3586.0,6333.0,14308.0,20641.0,28727.0,96102.0,125013.0,2005
"Thomasville-Lexington, NC Micro Area",184.0,1713.0,304.0,2483.0,2787.0,1399.0,2187.0,3586.0,6333.0,14308.0,20641.0,28727.0,96102.0,125013.0,2005
"Toledo, OH",874.0,1729.0,1339.0,1412.0,2751.0,8011.0,5465.0,13476.0,30365.0,46332.0,76697.0,94653.0,533161.0,628688.0,2005
"Topeka, KS",308.0,955.0,1911.0,973.0,2884.0,2470.0,1984.0,4454.0,5045.0,21803.0,26848.0,35141.0,186135.0,221584.0,2005
"Torrington, CT Micro Area",308.0,955.0,1911.0,973.0,2884.0,2470.0,1984.0,4454.0,5045.0,21803.0,26848.0,35141.0,186135.0,221584.0,2005
"Traverse City, MI Micro Area",308.0,955.0,1911.0,973.0,2884.0,2470.0,1984.0,4454.0,5045.0,21803.0,26848.0,35141.0,186135.0,221584.0,2005
"Trenton-Ewing, NJ",2083.0,187.0,69.0,23.0,92.0,9739.0,4492.0,14231.0,13072.0,11923.0,24995.0,39505.0,298636.0,340224.0,2005
"Truckee-Grass Valley, CA Micro Area",2083.0,187.0,69.0,23.0,92.0,9739.0,4492.0,14231.0,13072.0,11923.0,24995.0,39505.0,298636.0,340224.0,2005
"Tucson, AZ",9912.0,2299.0,4372.0,7411.0,11783.0,21353.0,21102.0,42455.0,26226.0,101314.0,127540.0,184077.0,693981.0,887970.0,2005
"Tullahoma, TN Micro Area",9912.0,2299.0,4372.0,7411.0,11783.0,21353.0,21102.0,42455.0,26226.0,101314.0,127540.0,184077.0,693981.0,887970.0,2005
"Tulsa, OK",4786.0,5295.0,2704.0,6592.0,9296.0,8026.0,14224.0,22250.0,52761.0,65484.0,118245.0,155086.0,696941.0,856813.0,2005
"Tupelo, MS Micro Area",4786.0,5295.0,2704.0,6592.0,9296.0,8026.0,14224.0,22250.0,52761.0,65484.0,118245.0,155086.0,696941.0,856813.0,2005
"Tuscaloosa, AL",2573.0,2357.0,627.0,32.0,659.0,3447.0,3776.0,7223.0,8156.0,11067.0,19223.0,29462.0,155383.0,187418.0,2005
"Twin Falls, ID Micro Area",2573.0,2357.0,627.0,32.0,659.0,3447.0,3776.0,7223.0,8156.0,11067.0,19223.0,29462.0,155383.0,187418.0,2005
"Tyler, TX",768.0,1928.0,2317.0,1802.0,4119.0,4165.0,5834.0,9999.0,7306.0,12732.0,20038.0,36084.0,144741.0,181593.0,2005
"Ukiah, CA Micro Area",768.0,1928.0,2317.0,1802.0,4119.0,4165.0,5834.0,9999.0,7306.0,12732.0,20038.0,36084.0,144741.0,181593.0,2005
"Utica-Rome, NY",1365.0,865.0,811.0,538.0,1349.0,6179.0,2229.0,8408.0,15423.0,11271.0,26694.0,37316.0,239895.0,278576.0,2005
"Valdosta, GA",1375.0,1622.0,376.0,1527.0,1903.0,1870.0,2596.0,4466.0,4615.0,8871.0,13486.0,21477.0,92466.0,115318.0,2005
"Vallejo-Fairfield, CA",1930.0,186.0,159.0,685.0,844.0,8682.0,10954.0,19636.0,20825.0,26183.0,47008.0,67674.0,318313.0,387917.0,2005
"Vero Beach, FL",436.0,339.0,389.0,621.0,1010.0,5773.0,5069.0,10842.0,5569.0,3919.0,9488.0,21679.0,102920.0,125035.0,2005
"Victoria, TX",224.0,1120.0,264.0,1361.0,1625.0,2419.0,2280.0,4699.0,3623.0,9265.0,12888.0,20332.0,95710.0,116266.0,2005
"Vineland-Millville-Bridgeton, NJ",691.0,0.0,0.0,0.0,0.0,2181.0,336.0,2517.0,1426.0,8742.0,10168.0,12685.0,124974.0,138350.0,2005
"Virginia Beach-Norfolk-Newport News, VA-NC",9610.0,7057.0,2110.0,3845.0,5955.0,38443.0,24132.0,62575.0,47036.0,145127.0,192163.0,267750.0,1283625.0,1560985.0,2005
"Visalia-Porterville, CA",1336.0,674.0,644.0,530.0,1174.0,3560.0,10093.0,13653.0,14296.0,14865.0,29161.0,44662.0,350112.0,396110.0,2005
"Waco, TX",1883.0,2776.0,157.0,938.0,1095.0,4710.0,4718.0,9428.0,6830.0,23308.0,30138.0,43437.0,165993.0,211313.0,2005
"Warner Robins, GA",442.0,862.0,811.0,1356.0,2167.0,4677.0,2471.0,7148.0,4981.0,10382.0,15363.0,25540.0,95206.0,121188.0,2005
"Warsaw, IN Micro Area",442.0,862.0,811.0,1356.0,2167.0,4677.0,2471.0,7148.0,4981.0,10382.0,15363.0,25540.0,95206.0,121188.0,2005
"Washington-Arlington-Alexandria, DC-VA-MD-WV",58900.0,4404.0,7275.0,6720.0,13995.0,84667.0,87595.0,172262.0,400990.0,184571.0,585561.0,776222.0,4206773.0,5041895.0,2005
"Waterloo-Cedar Falls, IA",324.0,3144.0,253.0,379.0,632.0,2258.0,2267.0,4525.0,4808.0,13468.0,18276.0,26577.0,125198.0,152099.0,2005
"Watertown-Fort Atkinson, WI Micro Area",324.0,3144.0,253.0,379.0,632.0,2258.0,2267.0,4525.0,4808.0,13468.0,18276.0,26577.0,125198.0,152099.0,2005
"Watertown-Fort Drum, NY Micro Area",324.0,3144.0,253.0,379.0,632.0,2258.0,2267.0,4525.0,4808.0,13468.0,18276.0,26577.0,125198.0,152099.0,2005
"Wausau, WI",215.0,571.0,260.0,628.0,888.0,1871.0,1918.0,3789.0,6303.0,3700.0,10003.0,15251.0,110085.0,125551.0,2005
"Weirton-Steubenville, WV-OH",496.0,108.0,714.0,33.0,747.0,1410.0,1559.0,2969.0,6835.0,3332.0,10167.0,13991.0,107269.0,121756.0,2005
"Wenatchee, WA",111.0,783.0,768.0,251.0,1019.0,1406.0,1572.0,2978.0,7977.0,5953.0,13930.0,18710.0,82824.0,101645.0,2005
"Wheeling, WV-OH",101.0,359.0,209.0,317.0,526.0,2107.0,455.0,2562.0,9045.0,2888.0,11933.0,15380.0,125299.0,140780.0,2005
"Whitewater, WI Micro Area",101.0,359.0,209.0,317.0,526.0,2107.0,455.0,2562.0,9045.0,2888.0,11933.0,15380.0,125299.0,140780.0,2005
