ucgid,B07201_014EA,B07201_014MA,B07201_013MA,B07201_013EA,B07201_012MA,B07201_012EA,B07201_011MA,B07201_011EA,B07201_010EA,B07201_010MA,B07201_009EA,B07201_009MA,B07201_008MA,B07201_008EA,B07201_007MA,B07201_007EA,B07201_006MA,B07201_006EA,B07201_005MA,B07201_005EA,B07201_004EA,B07201_004MA,B07201_003EA,B07201_003MA,B07201_002MA,B07201_002EA,B07201_001MA,B07201_001EA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
3100000US42020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Luis Obispo-Paso Robles, CA Metro Area",791,899,277,200,595,778,490,553,853,1331,2750,10085,1709,6401,3284,16486,4491,21954,3788,12722,4701,34676,5013,52693,5106,183207,784,236799,3100000US42020
3100000US42060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Barbara-Santa Maria, CA Metro Area",1106,2725,268,0,220,166,412,375,447,541,3564,11348,2812,12246,4543,23594,4165,20148,4602,31932,5324,52080,6962,76215,7241,298263,1787,377203,3100000US42060
3100000US42100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Cruz-Watsonville, CA Metro Area",1271,2091,171,101,487,534,102,58,493,592,1121,4430,1386,5159,1784,9589,2350,9915,3637,20154,4340,30069,4306,40351,5090,193922,1062,236364,3100000US42100
3100000US42140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Fe, NM Metro Area",936,935,389,432,3486,4543,428,364,3534,4907,1212,2301,1767,5354,2148,7655,791,1465,3054,14703,3159,16168,4733,29162,4832,107068,395,137165,3100000US42140
3100000US42220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Rosa-Petaluma, CA Metro Area",671,1653,337,467,382,521,648,882,675,1403,1582,5506,2157,8401,2461,13907,5951,26116,5356,32632,8097,58748,8262,74525,8487,371327,1439,447505,3100000US42220
3100000US42260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sarasota-Bradenton-Venice, FL Metro Area",2099,4870,547,979,820,1708,750,1144,1147,2852,4612,28780,3148,14790,5115,43570,3334,26061,8119,48923,8431,74984,9618,122385,9641,527776,1162,655031,3100000US42260
3100000US42340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Savannah, GA Metro Area",948,1722,445,519,853,1515,551,790,1043,2305,2009,6044,3689,9284,4079,15328,3848,14401,4509,21026,5756,35427,6477,53579,6923,243366,1508,298667,3100000US42340
3100000US42540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scranton--Wilkes-Barre, PA Metro Area",771,1891,605,1064,497,1036,713,1303,964,2339,1837,6008,2066,5989,2669,11997,4883,33937,2492,12582,5777,46519,6350,61919,6645,459818,1472,523628,3100000US42540
3100000US42580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Seaford, DE Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US42580
3100000US42620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Searcy, AR Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US42620
