ucgid,B07201_014MA,B07201_014EA,B07201_013EA,B07201_013MA,B07201_012EA,B07201_012MA,B07201_011EA,B07201_011MA,B07201_010MA,B07201_010EA,B07201_009MA,B07201_009EA,B07201_008MA,B07201_008EA,B07201_007EA,B07201_007MA,B07201_006EA,B07201_006MA,B07201_005MA,B07201_005EA,B07201_004MA,B07201_004EA,B07201_003MA,B07201_003EA,B07201_002EA,B07201_002MA,B07201_001EA,B07201_001MA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
3100000US21060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elizabethtown, KY Metro Area",1059,1832,400,803,353,496,657,741,785,1237,1043,3856,1065,2398,1353,6254,1958,6345,1733,3460,2580,9805,2699,18099,3419,88092,2007,108023,3100000US21060
3100000US21140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elkhart-Goshen, IN Metro Area",1305,2638,183,145,1380,1586,679,749,1777,2335,1046,3057,1428,3373,1692,6430,1477,4878,3601,16468,3714,21346,4571,30256,4748,161879,946,194773,3100000US21140
3100000US21300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmira, NY Metro Area",192,246,348,540,242,489,697,1087,740,1576,532,1927,592,1265,745,3192,1842,4348,1777,6083,2348,10431,2561,15739,2478,71394,554,87379,3100000US21300
3100000US21340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"El Paso, TX Metro Area",2843,9262,412,417,843,792,593,1302,1004,2094,2315,10988,3291,13369,4282,24357,2006,5144,8117,64987,8234,70131,8827,96999,9215,616434,1896,722695,3100000US21340
3100000US21460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enterprise-Ozark, AL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US21460
3100000US21500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Erie, PA Metro Area",358,671,287,436,1645,2815,541,646,1729,3461,1375,3524,1302,3609,1827,7133,2106,10634,3553,25757,3811,36391,3793,47421,3984,228427,798,276519,3100000US21500
3100000US21660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eugene-Springfield, OR Metro Area",1098,2203,661,1311,776,1561,1021,2230,1232,3791,2323,9205,3208,11070,4167,20275,3161,12298,3766,36713,4527,49011,5655,74388,5550,256761,890,333352,3100000US21660
3100000US21700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eureka-Arcata-Fortuna, CA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US21700
3100000US21780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Evansville, IN-KY Metro Area",985,1316,961,2556,413,589,565,931,754,1520,858,2845,1477,4217,1637,7062,3115,16090,3448,25767,4650,41857,4550,52995,4688,291799,2360,346110,3100000US21780
3100000US21820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks, AK Metro Area",618,1042,934,1397,272,243,90,53,286,296,1748,3866,1474,3767,2303,7633,1617,3519,1781,5885,2407,9404,2907,18730,2981,65845,509,85617,3100000US21820
