ucgid,B07201_014EA,B07201_014MA,B07201_013EA,B07201_013MA,B07201_012MA,B07201_012EA,B07201_011MA,B07201_011EA,B07201_010MA,B07201_010EA,B07201_009MA,B07201_009EA,B07201_008EA,B07201_008MA,B07201_007MA,B07201_007EA,B07201_006MA,B07201_006EA,B07201_005MA,B07201_005EA,B07201_004EA,B07201_004MA,B07201_003EA,B07201_003MA,B07201_002MA,B07201_002EA,B07201_001MA,B07201_001EA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
310M100US10140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aberdeen, WA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US10140
310M100US10180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abilene, TX Metro Area",774,924,695,1537,279,461,483,749,587,1210,1564,3511,1817,6232,2426,9743,1079,2801,4737,20919,4837,23720,4905,36210,4842,125923,1432,163057,310M100US10180
310M100US10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adrian, MI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US10300
310M100US10380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US10380
310M100US10420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Akron, OH Metro Area",1220,2546,145,121,820,1644,828,1055,1268,2699,3322,16371,2234,6923,3824,23294,4593,34234,3563,21336,5746,55570,7119,81684,7214,611751,1033,695981,310M100US10420
310M100US10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Albany, GA Metro Area",208,176,808,1252,465,684,599,930,860,1614,1800,4103,1191,1941,2286,6044,1951,6468,3400,11330,4092,17798,4845,26708,5125,132833,3279,159717,310M100US10500
310M100US10540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Albany-Lebanon, OR Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US10540
310M100US10580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Albany-Schenectady-Troy, NY Metro Area",1178,3642,856,2169,648,1821,662,1917,879,3738,3327,16728,1973,8744,4160,25472,4642,44615,3481,25206,5899,69821,6822,101200,7404,755775,1650,860617,310M100US10580
310M100US10700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Albertville, AL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US10700
310M100US10740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Albuquerque, NM Metro Area",1135,2897,1754,2949,979,2979,1787,3236,1919,6215,4105,14686,2856,14012,4886,28698,5290,25414,7199,63356,9111,88770,9823,126632,10365,751642,2634,881171,310M100US10740
310M100US10780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alexandria, LA Metro Area",359,509,1416,2880,1034,916,613,764,1071,1680,787,1766,1945,2766,2566,4532,2208,7328,2173,5754,3522,13082,5435,22174,5502,129947,577,152630,310M100US10780
310M100US10880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allegan, MI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US10880
310M100US10900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2160,5352,152,154,1124,2569,541,622,1209,3191,2919,17222,2760,9577,4062,26799,4715,37704,5943,37261,7814,74965,8055,105109,7851,703041,1312,813502,310M100US10900
310M100US11020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altoona, PA Metro Area",295,273,388,493,186,176,23,14,187,190,613,1333,422,353,710,1686,826,2179,2097,7501,2205,9680,2328,12049,2510,113642,337,125964,310M100US11020
310M100US11100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amarillo, TX Metro Area",841,1261,1350,2608,537,814,809,1589,856,2403,1141,3133,1836,4018,2092,7151,1637,5165,5425,33207,5738,38372,6153,50534,5966,196681,2017,248476,310M100US11100
310M100US11180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ames, IA Metro Area",523,821,1286,3212,657,1088,1284,2484,1388,3572,1150,3962,881,2044,1347,6006,1336,2150,2170,11996,2776,14146,3171,26936,3071,61179,242,88936,310M100US11180
310M100US11260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage, AK Metro Area",1382,3908,2025,5545,743,1293,572,1090,952,2383,2352,10989,2371,8592,3000,19581,2310,9791,5117,34339,5747,44130,6812,71639,6405,300483,1234,376030,310M100US11260
