ucgid,B07201_014EA,B07201_014MA,B07201_013EA,B07201_013MA,B07201_012MA,B07201_012EA,B07201_011MA,B07201_011EA,B07201_010EA,B07201_010MA,B07201_009EA,B07201_009MA,B07201_008EA,B07201_008MA,B07201_007EA,B07201_007MA,B07201_006MA,B07201_006EA,B07201_005EA,B07201_005MA,B07201_004EA,B07201_004MA,B07201_003EA,B07201_003MA,B07201_002EA,B07201_002MA,B07201_001MA,B07201_001EA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
310M100US44980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunbury, PA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US44980
310M100US45060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Syracuse, NY Metro Area",1088,3698,320,450,1072,3163,347,738,1031,3901,2163,14501,1221,7265,2325,21766,5286,40335,3006,22544,6173,62879,5911,88996,5967,562068,1087,654762,310M100US45060
310M100US45180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega-Sylacauga, AL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US45180
310M100US45220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tallahassee, FL Metro Area",1138,2203,1017,2618,443,619,800,1445,883,2064,2497,13206,2492,12048,3685,25254,3278,11924,5425,41742,6388,53666,7300,83602,7458,281080,1518,366885,310M100US45220
310M100US45300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tampa-St. Petersburg-Clearwater, FL Metro Area",3832,20486,1876,5284,1299,4079,1274,3474,1770,7553,7329,60086,6339,48523,9077,108609,13287,186836,10351,131792,15241,318628,17053,440074,16922,2338124,2482,2798684,310M100US45300
310M100US45460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Terre Haute, IN Metro Area",300,528,451,774,67,53,464,775,461,828,597,2180,774,2154,1041,4334,2092,8176,1422,6116,2830,14292,3064,20228,3672,150757,2317,171513,310M100US45460
310M100US45500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Texarkana, TX-Texarkana, AR Metro Area",521,540,668,1489,257,348,282,623,388,971,623,1150,1248,2535,1245,3685,1943,4904,1920,7794,3025,12698,3300,18843,3665,114827,798,134210,310M100US45500
310M100US45540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Villages, FL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US45540
310M100US45640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thomasville-Lexington, NC Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US45640
310M100US45780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Toledo, OH Metro Area",1536,3024,860,1460,773,2542,427,781,939,3323,1506,7898,1669,7892,2146,15790,5090,38681,5354,47998,6686,86679,7123,107252,7102,532569,1236,642845,310M100US45780
310M100US45820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Topeka, KS Metro Area",292,435,351,723,83,77,581,1067,589,1144,1114,3071,1060,2911,1595,5982,1296,4667,3961,21053,4175,25720,4246,33569,4897,197637,1948,231641,310M100US45820
310M100US45860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Torrington, CT Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US45860
310M100US45900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Traverse City, MI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US45900
310M100US45940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Trenton-Ewing, NJ Metro Area",1748,3204,126,75,103,73,484,511,494,584,2514,14451,1717,5658,3056,20109,3654,15995,2384,8032,4603,24027,6104,44795,6485,315732,741,363731,310M100US45940
310M100US46020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Truckee-Grass Valley, CA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US46020
310M100US46060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tucson, AZ Metro Area",1628,5814,1171,1703,1909,3411,1141,2269,2305,5680,4819,20189,5319,23723,7580,43912,7271,41062,9846,105053,12190,146115,12784,197410,12765,774300,1915,977524,310M100US46060
310M100US46100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tullahoma, TN Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US46100
310M100US46140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tulsa, OK Metro Area",708,2119,1849,4957,1024,2677,1398,4638,1638,7315,2610,11570,2129,10944,3424,22514,5158,49668,5821,58026,6727,107694,7930,142480,8374,790931,2604,935530,310M100US46140
310M100US46180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tupelo, MS Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US46180
310M100US46220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa, AL Metro Area",449,609,496,744,559,1091,405,516,680,1607,2007,6612,1657,5357,2651,11969,2211,8961,3707,16866,3300,25827,3988,40147,4446,177514,2143,218270,310M100US46220
310M100US46300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Twin Falls, ID Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US46300
310M100US46340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tyler, TX Metro Area",252,301,430,709,1572,3081,2975,3294,3275,6375,1912,3982,2459,8036,2818,12018,3414,10166,3653,15740,4968,25906,6222,45008,6348,165910,639,211219,310M100US46340
310M100US46380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ukiah, CA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US46380
310M100US46540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Utica-Rome, NY Metro Area",303,431,499,880,1061,2253,475,815,1142,3068,1167,5387,1449,4706,1854,10093,2633,12974,2605,12160,3538,25134,4356,39175,4270,255445,627,295051,310M100US46540
310M100US46660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Valdosta, GA Metro Area",685,902,1437,2828,527,730,393,427,679,1157,2207,5575,1076,2570,2373,8145,1905,6567,2459,10994,3365,17561,4268,29691,4471,107839,1754,138432,310M100US46660
310M100US46700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vallejo-Fairfield, CA Metro Area",1019,2301,652,802,388,547,1127,1078,1268,1625,2196,8770,3294,13139,3656,21909,4653,17464,5656,31302,7265,48766,9326,73102,9252,337067,1081,412470,310M100US46700
310M100US47020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Victoria, TX Metro Area",178,283,1231,1710,526,476,560,587,771,1063,507,743,917,2190,1037,2933,820,2876,2733,9620,2792,12496,3076,18202,3387,95759,1462,114244,310M100US47020
310M100US47220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vineland-Millville-Bridgeton, NJ Metro Area",457,860,134,97,273,240,122,76,301,316,1138,4072,631,2364,1357,6436,1044,2516,2966,13800,3033,16316,3144,23165,3143,130613,751,154638,310M100US47220
310M100US47260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",2876,11857,1257,5029,1891,5167,726,1611,1970,6778,5739,43986,4251,29894,7627,73880,5588,47610,10642,145674,11718,193284,12738,278971,12820,1364490,3756,1655318,310M100US47260
310M100US47300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Visalia-Porterville, CA Metro Area",757,1441,1787,1502,287,308,588,464,690,772,1497,5080,2128,6457,2695,11537,5878,38249,6291,26256,7956,64505,8413,78316,8347,363138,1117,442895,310M100US47300
310M100US47380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waco, TX Metro Area",560,881,998,1675,978,1101,308,435,1009,1536,2043,6066,2096,5611,3187,11677,2666,10260,3042,22201,3436,32461,4710,47349,4905,187483,674,235713,310M100US47380
310M100US47580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warner Robins, GA Metro Area",1429,1146,728,894,313,348,525,522,598,870,1810,3156,2085,3852,2700,7008,1915,4594,2841,5755,3263,10349,3794,19121,4437,122315,677,142582,310M100US47580
310M100US47700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warsaw, IN Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US47700
310M100US47900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",7766,65448,1732,5781,3429,9466,1948,5966,3723,15432,6804,93220,8159,97120,10463,190340,20825,398045,10680,172281,25089,570326,24626,781879,26419,4785035,4990,5632362,310M100US47900
310M100US47940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waterloo-Cedar Falls, IA Metro Area",524,754,1286,3169,715,1134,235,371,748,1505,1339,3855,596,1998,1402,5853,1397,3955,3041,13880,3144,17835,3354,28362,3449,136673,1444,165789,310M100US47940
310M100US48020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Watertown-Fort Atkinson, WI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US48020
310M100US48060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Watertown-Fort Drum, NY Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US48060
310M100US48140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wausau, WI Metro Area",232,313,870,1474,859,1032,496,659,951,1691,665,975,853,1730,1047,2705,1399,4699,1949,5569,2059,10268,2424,16138,2529,115966,649,132417,310M100US48140
310M100US48300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wenatchee-East Wenatchee, WA Metro Area",193,185,134,129,634,904,623,557,1021,1461,1106,2234,891,1716,1361,3950,1612,3582,1396,3507,1954,7089,2678,12629,2705,98638,484,111452,310M100US48300
310M100US48540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wheeling, WV-OH Metro Area",233,224,265,580,234,358,719,1056,762,1414,832,2220,605,1219,1048,3439,1862,9558,1097,3161,2159,12719,2653,18152,2630,128138,365,146514,310M100US48540
310M100US48580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whitewater, WI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US48580
310M100US48620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wichita, KS Metro Area",902,2308,905,2501,1312,2418,958,2967,1646,5385,1910,6149,1856,5843,2525,11992,4459,27567,4879,52040,6792,79607,6811,99485,6874,515452,2158,617245,310M100US48620
310M100US48660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wichita Falls, TX Metro Area",348,402,403,743,709,1375,411,1248,824,2623,1377,3442,833,3111,1846,6553,2549,5212,2579,9522,3571,14734,4122,24653,4549,122067,2013,147122,310M100US48660
310M100US48700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Williamsport, PA Metro Area",14,8,618,854,593,1461,416,762,809,2223,817,2195,799,1661,1247,3856,1802,5550,1526,2876,2349,8426,2712,15359,2539,100283,603,115650,310M100US48700
310M100US48740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Willimantic, CT Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US48740
310M100US48900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilmington, NC Metro Area",1103,1191,551,884,1461,2336,348,564,1511,2900,2926,8814,1949,7452,3311,16266,6564,23366,3804,22523,7462,45889,7915,65939,8052,299235,1152,366365,310M100US48900
310M100US48980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilson, NC Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US48980
310M100US49020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winchester, VA-WV Metro Area",354,245,428,617,1286,976,235,233,1298,1209,1073,2911,1072,2205,1532,5116,3690,9827,1887,4384,3594,14211,3927,21153,3925,107028,463,128426,310M100US49020
310M100US49180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winston-Salem, NC Metro Area",697,1368,381,495,1318,2802,1193,1934,1787,4736,2125,8951,1414,5475,2645,14426,2498,12626,7343,32340,7454,44966,8239,64623,8215,410420,1190,476411,310M100US49180
310M100US49300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wooster, OH Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US49300
310M100US49340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Worcester, MA Metro Area",1269,4346,248,249,753,1252,309,505,797,1757,3289,18283,2860,8719,4367,27002,5628,43913,3460,18475,6388,62388,7067,91396,7421,695590,1575,791332,310M100US49340
310M100US49420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yakima, WA Metro Area",1224,1145,631,504,314,430,365,463,472,893,1271,2129,2694,5445,3079,7574,3267,11978,3767,15209,5621,27187,5696,36158,5777,206054,1096,243357,310M100US49420
310M100US49500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yauco, PR Metro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US49500
310M100US49620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"York-Hanover, PA Metro Area",1013,1890,271,207,2723,4066,385,377,2833,4443,1963,9432,1316,4231,2242,13663,3857,23178,3217,12410,5105,35588,6034,53901,6144,376398,1156,432189,310M100US49620
310M100US49660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Youngstown-Warren-Boardman, OH-PA Metro Area",358,584,804,1217,686,2132,352,794,798,2926,1798,8058,869,4018,2054,12076,3908,24158,2551,15162,4522,39320,5129,55539,5197,502230,1003,558353,310M100US49660
310M100US49700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuba City, CA Metro Area",164,147,331,252,280,222,444,527,528,749,2250,6700,776,2159,2339,8859,3845,11651,2654,10431,4952,22082,5321,31942,5129,132652,1017,164741,310M100US49700
310M100US49740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuma, AZ Metro Area",1484,2985,342,417,212,252,171,315,242,567,2611,6527,1339,4668,3095,11195,1833,5292,5713,19029,5851,24321,6254,36500,6464,159750,679,199235,310M100US49740
310M100US49780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zanesville, OH Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US49780
310M100US10140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aberdeen, WA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US10140
310M100US10180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abilene, TX Metro Area",538,943,999,1530,370,442,415,702,521,1144,1370,4558,1432,4109,2310,8667,1051,2343,3701,16793,3663,19136,4703,30477,4884,131109,1382,162529,310M100US10180
310M100US10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adrian, MI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US10300
