ucgid,NAME,GEO_ID,B07201_014MA,B07201_014M,B07201_014EA,B07201_014E,B07201_013MA,B07201_013M,B07201_013EA,B07201_013E,B07201_012MA,B07201_012M,B07201_012EA,B07201_012E,B07201_011MA,B07201_011M,B07201_011EA,B07201_011E,B07201_010MA,B07201_010M,B07201_010EA,B07201_010E,B07201_009MA,B07201_009M,B07201_009EA,B07201_009E,B07201_008MA,B07201_008M,B07201_008EA,B07201_008E,B07201_007MA,B07201_007M,B07201_007EA,B07201_007E,B07201_006MA,B07201_006M,B07201_006EA,B07201_006E,B07201_005MA,B07201_005M,B07201_005EA,B07201_005E,B07201_004MA,B07201_004M,B07201_004EA,B07201_004E,B07201_003MA,B07201_003M,B07201_003EA,B07201_003E,B07201_002MA,B07201_002M,B07201_002EA,B07201_002E,B07201_001MA,B07201_001M,B07201_001EA,B07201_001E
310M100US41860,"San Francisco-Oakland-Fremont, CA Metro Area",310M100US41860,,4832,,45473,,411,,626,,1370,,2367,,1326,,4098,,1882,,6465,,5230,,56451,,6900,,98540,,8554,,154991,,12546,,194376,,12641,,251411,,18016,,445787,,19678,,607869,,20362,,3752089,,3743,,4405431
310M100US41900,"San Germán-Cabo Rojo, PR Metro Area",310M100US41900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",310M100US41940,,4004,,27254,,479,,510,,427,,585,,619,,830,,751,,1415,,3354,,25992,,4949,,45569,,5507,,71561,,4453,,33259,,10983,,148209,,11543,,181468,,12565,,254954,,12279,,1591779,,2013,,1873987
310M100US41980,"San Juan-Caguas-Guaynabo, PR Metro Area",310M100US41980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US42620,"Searcy, AR Micro Area",310M100US42620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US42660,"Seattle-Tacoma-Bellevue, WA Metro Area",310M100US42660,,4936,,34923,,2204,,4330,,2043,,7184,,1990,,9295,,2982,,16479,,6638,,62804,,8119,,70565,,10702,,133369,,13027,,231422,,12261,,204321,,18206,,435743,,18193,,589921,,17784,,2884474,,2974,,3509318
310M100US42680,"Sebastian-Vero Beach, FL Metro Area",310M100US42680,,544,,465,,222,,218,,368,,311,,120,,141,,388,,452,,1849,,4955,,1507,,3080,,2577,,8035,,3294,,7382,,1640,,4510,,4024,,11892,,4927,,20597,,4772,,118478,,602,,139540
310M100US42700,"Sebring, FL Micro Area",310M100US42700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US42860,"Seneca, SC Micro Area",310M100US42860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US42940,"Sevierville, TN Micro Area",310M100US42940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
